FlowDuration,TotalPackets,TotalBytes,AvgPacketSize,BytesPerPacket,PacketRate,ByteRate,FlowVolume,Port,FIN_Flag_Count,SYN_Flag_Count,RST_Flag_Count,PSH_Flag_Count,ACK_Flag_Count,InterArrivalTime,Protocol_sctp,Protocol_tcp,Protocol_udp
-0.682561645,-0.731630628,-0.691930202,-1.163313021,-0.284975627,-0.820264016,-0.673369699,-0.593312886,-0.360311883,-0.281501087,-1.250539695,-0.419865516,-0.411937077,-0.561169079,3.414619352,-0.04464701,-1.78901009,1.80885452
-0.692881915,-0.732885313,-0.691971595,-1.15071965,-0.235231274,-0.800802666,-0.673357744,-0.593314411,-0.390331191,-1.140820193,-1.250539695,-0.419865516,-0.413059774,-0.562717794,0.388714058,-0.04464701,-1.78901009,1.80885452
-0.692550042,-0.729850727,-0.691774527,-0.622818131,-0.28070797,-0.593221441,-0.672576452,-0.593313295,-0.360311883,0.57781802,1.404289766,-0.419865516,-0.390044487,-0.556614036,-0.095667464,-0.04464701,0.55896834,-0.552836057
1.594167184,-0.497559079,-0.407466,1.24660282,-0.119170258,1.088776034,0.521179222,1.920793657,-0.245468787,-0.281501087,0.519346612,-0.419865516,0.13425497,-0.476991878,-0.374268124,-0.04464701,0.55896834,-0.552836057
1.364374735,2.211884029,-0.56394071,-1.174164407,-0.285046629,-0.385043955,-0.61778757,-0.487789067,2.545326203,-0.281501087,-0.365596542,-0.419865516,2.781574285,0.015226108,-0.369529226,-0.04464701,-1.78901009,1.80885452
-0.683311077,-0.727224644,-0.691092157,-0.604350312,-0.268080809,-0.802861782,-0.671112874,-0.593290753,-0.360311883,2.296456232,0.519346612,-0.419865516,-0.404078198,-0.554700918,-0.294797567,-0.04464701,0.55896834,-0.552836057
-0.674399632,-0.732214202,-0.690671384,-0.020768955,-0.037251649,-0.663298815,-0.668864011,-0.593230333,-0.360311883,0.57781802,2.28923292,-0.419865516,-0.397342017,-0.555338624,-0.07467409,-0.04464701,0.55896834,-0.552836057
-0.678388288,-0.731718164,-0.689495634,-0.2211206,-0.003992696,-0.620439983,-0.671484898,-0.593285153,-0.360311883,2.296456232,2.28923292,2.381715006,-0.395657971,-0.559711465,-0.212390434,-0.04464701,0.55896834,-0.552836057
-0.267317362,-0.029445159,0.499484364,1.030008257,-0.050669324,-0.284137214,-0.203245785,-0.408760341,0.227527744,0.57781802,-0.365596542,-0.419865516,-0.344575262,-0.231019536,-0.352961476,-0.04464701,0.55896834,-0.552836057
-0.684546792,-0.728070827,-0.689525558,-0.331432126,-0.218873876,-0.602135057,-0.664636173,-0.593237024,-0.388252931,0.57781802,1.404289766,-0.419865516,-0.386115048,-0.556067431,-0.353218796,-0.04464701,0.55896834,-0.552836057
